Id,Label,0,modularity_class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,clustering,triangles,weighted degree,eigencentrality,degree,stat_inf_class
ana c. lima,ana c. lima,UFPE,70,1,1,1,0,0,0,0,0.003617,1,0
carla silva,carla silva,UFPE,70,1,1,1,0,1,1,0,0.003617,1,1
patrick h. a. belem,patrick h. a. belem,UFRJ,37,3,0.545455,0.666667,0,1,10,0,0.448813,5,2
adriana s. vivacqua,adriana s. vivacqua,UFRJ,37,2,0.8,0.875,0.000133,0.333333,12,4,0.561238,9,3
rafael m. mello,rafael m. mello,UFRJ,37,3,0.545455,0.666667,0,1,10,0,0.448813,5,4
joao p. b. gloria,joao p. b. gloria,"UFRJ / Instituto Federal de Educação, Ciência e Tecnologia Baiano (IF Baiano)",37,3,0.545455,0.666667,0,1,10,0,0.448813,5,5
adriano n. souza,adriano n. souza,UFRJ,37,3,0.545455,0.666667,0,1,10,0,0.448813,5,6
claudio barizon,claudio barizon,UFRJ,37,3,0.545455,0.666667,0,1,10,0,0.448813,5,7
ecivaldo s. matos,ecivaldo s. matos,Universidade de São Paulo (USP),0,1,1,1,0,1,3,0,0.04907,3,8
filipe a. garrido,filipe a. garrido,UFBA,0,1,1,1,0,1,3,0,0.04907,3,9
jean c. s. rosa,jean c. s. rosa,Interactive Technologies Institute (ITI/LARSyS),0,1,1,1,0,1,3,0,0.04907,3,10
beatriz b. rego,beatriz b. rego,UFBA,0,1,1,1,0,1,3,0,0.04907,3,11
tanara lauschner,tanara lauschner,UFAM,11,2,0.857143,0.916667,0,1,10,0,0.358809,5,12
genildo gomes,genildo gomes,UFAM,11,2,0.857143,0.916667,0,1,10,0,0.358809,5,13
leandro galvao,leandro galvao,UFAM,11,2,0.857143,0.916667,0,1,10,0,0.358809,5,14
romualdo costa,romualdo costa,UFAM,11,2,0.857143,0.916667,0,1,10,0,0.358809,5,15
edward c. souza,edward c. souza,UFAM,11,2,0.857143,0.916667,0,1,10,0,0.358809,5,16
bruno gadelha,bruno gadelha,UFAM,11,1,1,1,0.000015,0.666667,10,3,0.37179,6,17
huandy c. camargo,huandy c. camargo,UNIFEI,23,1,1,1,0,1,10,0,0.341038,5,18
melise m. v. paula,melise m. v. paula,UNIFEI,23,1,1,1,0,1,10,0,0.341038,5,19
rafael m. d. frinhani,rafael m. d. frinhani,UNIFEI,23,1,1,1,0,1,10,0,0.341038,5,20
