title,category,publish-date,abstract,first-keyword,second-keyword,third-keyword,fourth-keyword,fifth-keyword,sixth-keyword,seventh-keyword,eighth-keyword,language,author,affiliation
Comunicação entre profissionais de UX e de outras áreas da tecnologia,Artigo Completo,2024,"A entrada de profissionais da área de design de experiência da pessoa usuária (UX) tem aumentado de forma exponencial nos últimos anos nas empresas de desenvolvimento de software. No entanto, ainda é preciso que profissionais de design e de outras áreas da tecnologia consigam se comunicar de modo que consigam realizar uma entrega de qualidade do produto que construíram juntos. Este trabalho teve como objetivo avaliar a percepção de profissionais de tecnologia sobre o impacto do design de UX no desenvolvimento de software. Os resultados corroboram os achados da literatura e apontam a necessidade de técnicas, processos e ferramentas que apoiem a resolução do problema abordado na pesquisa.",UX,Experiência do Usuário,Comunicação,,,,,,Português,ana c. lima,UFPE
Comunicação entre profissionais de UX e de outras áreas da tecnologia,Artigo Completo,2024,"A entrada de profissionais da área de design de experiência da pessoa usuária (UX) tem aumentado de forma exponencial nos últimos anos nas empresas de desenvolvimento de software. No entanto, ainda é preciso que profissionais de design e de outras áreas da tecnologia consigam se comunicar de modo que consigam realizar uma entrega de qualidade do produto que construíram juntos. Este trabalho teve como objetivo avaliar a percepção de profissionais de tecnologia sobre o impacto do design de UX no desenvolvimento de software. Os resultados corroboram os achados da literatura e apontam a necessidade de técnicas, processos e ferramentas que apoiem a resolução do problema abordado na pesquisa.",UX,Experiência do Usuário,Comunicação,,,,,,Português,carla silva,UFPE
A colaboração em reuniões remotas: uma análise sobre o uso da câmera e a produtividade,Artigo Completo,2024,"A pandemia do novo coronavírus impactou diretamente a forma de trabalho, tendo grande destaque a difusão do trabalho remoto. Nesta modalidade, as equipes usam ferramentas de videoconferência regularmente para realizar reuniões remotas e apoiar a colaboração. O objetivo deste trabalho é investigar o efeito do uso da câmera na produtividade e entender seu impacto na colaboração em reuniões remotas. Uma pesquisa do tipo survey foi realizada com profissionais de áreas diversas para um maior entendimento de práticas de colaboração em reuniões remotas. De acordo com os dados obtidos, algumas pessoas acreditam que ativar a câmera melhora a comunicação, tornando-a mais completa, o que pode impactar positivamente a produtividade em videoconferências. Contudo, os percentuais daqueles que preferem manter a câmera desligada ou consideram isso indiferente são semelhantes. Portanto, não é possível concluir se manter as câmeras ligadas ou desligadas melhora ou não a produtividade.",colaboração em reuniões remotas,Câmera ligada ou desligada,produtividade,uso da câmera,,,,,Português,patrick h. a. belem,UFRJ
A colaboração em reuniões remotas: uma análise sobre o uso da câmera e a produtividade,Artigo Completo,2024,"A pandemia do novo coronavírus impactou diretamente a forma de trabalho, tendo grande destaque a difusão do trabalho remoto. Nesta modalidade, as equipes usam ferramentas de videoconferência regularmente para realizar reuniões remotas e apoiar a colaboração. O objetivo deste trabalho é investigar o efeito do uso da câmera na produtividade e entender seu impacto na colaboração em reuniões remotas. Uma pesquisa do tipo survey foi realizada com profissionais de áreas diversas para um maior entendimento de práticas de colaboração em reuniões remotas. De acordo com os dados obtidos, algumas pessoas acreditam que ativar a câmera melhora a comunicação, tornando-a mais completa, o que pode impactar positivamente a produtividade em videoconferências. Contudo, os percentuais daqueles que preferem manter a câmera desligada ou consideram isso indiferente são semelhantes. Portanto, não é possível concluir se manter as câmeras ligadas ou desligadas melhora ou não a produtividade.",colaboração em reuniões remotas,Câmera ligada ou desligada,produtividade,uso da câmera,,,,,Português,joao p. b. gloria,"UFRJ / Instituto Federal de Educação, Ciência e Tecnologia Baiano (IF Baiano)"
A colaboração em reuniões remotas: uma análise sobre o uso da câmera e a produtividade,Artigo Completo,2024,"A pandemia do novo coronavírus impactou diretamente a forma de trabalho, tendo grande destaque a difusão do trabalho remoto. Nesta modalidade, as equipes usam ferramentas de videoconferência regularmente para realizar reuniões remotas e apoiar a colaboração. O objetivo deste trabalho é investigar o efeito do uso da câmera na produtividade e entender seu impacto na colaboração em reuniões remotas. Uma pesquisa do tipo survey foi realizada com profissionais de áreas diversas para um maior entendimento de práticas de colaboração em reuniões remotas. De acordo com os dados obtidos, algumas pessoas acreditam que ativar a câmera melhora a comunicação, tornando-a mais completa, o que pode impactar positivamente a produtividade em videoconferências. Contudo, os percentuais daqueles que preferem manter a câmera desligada ou consideram isso indiferente são semelhantes. Portanto, não é possível concluir se manter as câmeras ligadas ou desligadas melhora ou não a produtividade.",colaboração em reuniões remotas,Câmera ligada ou desligada,produtividade,uso da câmera,,,,,Português,adriano n. souza,UFRJ
A colaboração em reuniões remotas: uma análise sobre o uso da câmera e a produtividade,Artigo Completo,2024,"A pandemia do novo coronavírus impactou diretamente a forma de trabalho, tendo grande destaque a difusão do trabalho remoto. Nesta modalidade, as equipes usam ferramentas de videoconferência regularmente para realizar reuniões remotas e apoiar a colaboração. O objetivo deste trabalho é investigar o efeito do uso da câmera na produtividade e entender seu impacto na colaboração em reuniões remotas. Uma pesquisa do tipo survey foi realizada com profissionais de áreas diversas para um maior entendimento de práticas de colaboração em reuniões remotas. De acordo com os dados obtidos, algumas pessoas acreditam que ativar a câmera melhora a comunicação, tornando-a mais completa, o que pode impactar positivamente a produtividade em videoconferências. Contudo, os percentuais daqueles que preferem manter a câmera desligada ou consideram isso indiferente são semelhantes. Portanto, não é possível concluir se manter as câmeras ligadas ou desligadas melhora ou não a produtividade.",colaboração em reuniões remotas,Câmera ligada ou desligada,produtividade,uso da câmera,,,,,Português,claudio barizon,UFRJ
A colaboração em reuniões remotas: uma análise sobre o uso da câmera e a produtividade,Artigo Completo,2024,"A pandemia do novo coronavírus impactou diretamente a forma de trabalho, tendo grande destaque a difusão do trabalho remoto. Nesta modalidade, as equipes usam ferramentas de videoconferência regularmente para realizar reuniões remotas e apoiar a colaboração. O objetivo deste trabalho é investigar o efeito do uso da câmera na produtividade e entender seu impacto na colaboração em reuniões remotas. Uma pesquisa do tipo survey foi realizada com profissionais de áreas diversas para um maior entendimento de práticas de colaboração em reuniões remotas. De acordo com os dados obtidos, algumas pessoas acreditam que ativar a câmera melhora a comunicação, tornando-a mais completa, o que pode impactar positivamente a produtividade em videoconferências. Contudo, os percentuais daqueles que preferem manter a câmera desligada ou consideram isso indiferente são semelhantes. Portanto, não é possível concluir se manter as câmeras ligadas ou desligadas melhora ou não a produtividade.",colaboração em reuniões remotas,Câmera ligada ou desligada,produtividade,uso da câmera,,,,,Português,rafael m. mello,UFRJ
A colaboração em reuniões remotas: uma análise sobre o uso da câmera e a produtividade,Artigo Completo,2024,"A pandemia do novo coronavírus impactou diretamente a forma de trabalho, tendo grande destaque a difusão do trabalho remoto. Nesta modalidade, as equipes usam ferramentas de videoconferência regularmente para realizar reuniões remotas e apoiar a colaboração. O objetivo deste trabalho é investigar o efeito do uso da câmera na produtividade e entender seu impacto na colaboração em reuniões remotas. Uma pesquisa do tipo survey foi realizada com profissionais de áreas diversas para um maior entendimento de práticas de colaboração em reuniões remotas. De acordo com os dados obtidos, algumas pessoas acreditam que ativar a câmera melhora a comunicação, tornando-a mais completa, o que pode impactar positivamente a produtividade em videoconferências. Contudo, os percentuais daqueles que preferem manter a câmera desligada ou consideram isso indiferente são semelhantes. Portanto, não é possível concluir se manter as câmeras ligadas ou desligadas melhora ou não a produtividade.",colaboração em reuniões remotas,Câmera ligada ou desligada,produtividade,uso da câmera,,,,,Português,adriana s. vivacqua,UFRJ
An analysis of social aspects in CSCL: a SML on design and evaluation of sociability to (re)qualify these environments,Artigo Completo,2024,"In computer-supported cooperative work, especially in Computer Supported Collaborative Learning (CSCL), there is a high dependence on interpersonal relationships in the learning process. Therefore, sociability is an essential aspect for the success of this approach. CSCL systems have as their fundamental principle the intermediation of relationships between people to share resources, facilitate teamwork and facilitate the flow of information in the teaching-learning process. CSCL environments tend to bring together many students with a wide range of social and cultural characteristics. They interact with their peers to learn and build knowledge collaboratively. This article aims to present the results of a systematic mapping of the literature that presents challenges and solutions related to sociability in the design and evaluation of CSCL systems. The systematic mapping of literature was carried out through searches in four scientific databases, adopting quality criteria to refine the findings into categories. We identify techniques, methods and formalisms and categorize them according to conception or evaluation, focusing on sociability in CSCL. We hope that the explicit tools and approaches described in this study can enable projects and evaluations of these environments that prioritize essential social aspects in interaction, verifying the quality of sociability in these environments.",sociability,CSCL,interaction,,,,,,Inglês,filipe a. garrido,UFBA
An analysis of social aspects in CSCL: a SML on design and evaluation of sociability to (re)qualify these environments,Artigo Completo,2024,"In computer-supported cooperative work, especially in Computer Supported Collaborative Learning (CSCL), there is a high dependence on interpersonal relationships in the learning process. Therefore, sociability is an essential aspect for the success of this approach. CSCL systems have as their fundamental principle the intermediation of relationships between people to share resources, facilitate teamwork and facilitate the flow of information in the teaching-learning process. CSCL environments tend to bring together many students with a wide range of social and cultural characteristics. They interact with their peers to learn and build knowledge collaboratively. This article aims to present the results of a systematic mapping of the literature that presents challenges and solutions related to sociability in the design and evaluation of CSCL systems. The systematic mapping of literature was carried out through searches in four scientific databases, adopting quality criteria to refine the findings into categories. We identify techniques, methods and formalisms and categorize them according to conception or evaluation, focusing on sociability in CSCL. We hope that the explicit tools and approaches described in this study can enable projects and evaluations of these environments that prioritize essential social aspects in interaction, verifying the quality of sociability in these environments.",sociability,CSCL,interaction,,,,,,Inglês,beatriz b. rego,UFBA
