title,category,publish-date,abstract,first-keyword,second-keyword,third-keyword,fourth-keyword,fifth-keyword,sixth-keyword,seventh-keyword,eighth-keyword,language,author,affiliation
Avaliação do Suporte à Percepção em Ferramentas Colaborativas de Apoio ao Desenvolvimento de Software,Anais,2025,"Metodologias ágeis e a crescente distribuição geográfica das equipes têm impulsionado grandes transformações no ambiente de desenvolvimento de software nas últimas décadas. Ferramentas colaborativas surgem como soluções essenciais para otimizar processos, melhorar a comunicação e coordenar esforços entre os membros das equipes. Dessa forma, a implementação de sistemas colaborativos eficazes se torna crucial para garantir a produtividade, a qualidade e o sucesso dos projetos. Este estudo busca avaliar o suporte à colaboração fornecido pelas ferramentas utilizadas em ambientes de desenvolvimento de software, sob a perspectiva dos usuários. Avaliamos alguns ambientes colaborativos adotados pelas equipes de desenvolvimento, analisado o suporte aos aspectos de colaboração contextual e do espaço de trabalho compartilhado. Como resultado, percebemos que a capacidade do indivíduo em reconhecer e se apropriar de mecanismos de percepção depende de suas próprias habilidades e familiaridade com o ambiente.",Colaboração,Desenvolvimento de software,Ferramentas colaborativas,,,,,,Português,suelyn concentius,UDESC
Avaliação do Suporte à Percepção em Ferramentas Colaborativas de Apoio ao Desenvolvimento de Software,Anais,2025,"Metodologias ágeis e a crescente distribuição geográfica das equipes têm impulsionado grandes transformações no ambiente de desenvolvimento de software nas últimas décadas. Ferramentas colaborativas surgem como soluções essenciais para otimizar processos, melhorar a comunicação e coordenar esforços entre os membros das equipes. Dessa forma, a implementação de sistemas colaborativos eficazes se torna crucial para garantir a produtividade, a qualidade e o sucesso dos projetos. Este estudo busca avaliar o suporte à colaboração fornecido pelas ferramentas utilizadas em ambientes de desenvolvimento de software, sob a perspectiva dos usuários. Avaliamos alguns ambientes colaborativos adotados pelas equipes de desenvolvimento, analisado o suporte aos aspectos de colaboração contextual e do espaço de trabalho compartilhado. Como resultado, percebemos que a capacidade do indivíduo em reconhecer e se apropriar de mecanismos de percepção depende de suas próprias habilidades e familiaridade com o ambiente.",Colaboração,Desenvolvimento de software,Ferramentas colaborativas,,,,,,Português,marcio j. mantau,UDESC
The Awareness Assessment Process,Anais,2025,"Different strategies in the literature seek to help support awareness mechanisms in collaborative applications. However, the most common approaches are projected to a specific context and do not focus on evaluating these mechanisms or the provided support from the user’s point of view. Few studies present methods or processes that provide awareness aspects in collaborative systems; thus, finding a good starting point in the literature can be challenging for beginners in awareness design. We evolve the findings presented by (MANTAU; BENITTI, 2023a), providing contributions towards developing an awareness assessment process that allows accessing the awareness and, consequently, the collaboration support through measuring awareness mechanisms from the participant’s viewpoint. Then, we expose the model’s artifacts to HCI and collaborative system examiners’ appreciation to verify the suitability of the process by reliability and usefulness criteria.",Awareness,Avaliação de colaboração,Sistemas colaborativos,,,,,,Inglês,marcio j. mantau,UDESC
The Awareness Assessment Process,Anais,2025,"Different strategies in the literature seek to help support awareness mechanisms in collaborative applications. However, the most common approaches are projected to a specific context and do not focus on evaluating these mechanisms or the provided support from the user’s point of view. Few studies present methods or processes that provide awareness aspects in collaborative systems; thus, finding a good starting point in the literature can be challenging for beginners in awareness design. We evolve the findings presented by (MANTAU; BENITTI, 2023a), providing contributions towards developing an awareness assessment process that allows accessing the awareness and, consequently, the collaboration support through measuring awareness mechanisms from the participant’s viewpoint. Then, we expose the model’s artifacts to HCI and collaborative system examiners’ appreciation to verify the suitability of the process by reliability and usefulness criteria.",Awareness,Avaliação de colaboração,Sistemas colaborativos,,,,,,Inglês,fabiane b. v. benitti,UFSC
On the use of the Lotus Blossom Technique to Foster Collaboration among Students in Software Development,Anais,2025,"Collaboration is essential in software development but is often hindered by skill gaps and communication barriers. Techniques like Lotus Blossom provide a structured brainstorming approach to enhance teamwork and ideation. However, its role in fostering collaboration in product discovery remains underexplored. This study examines how undergraduate students applied the Lotus Blossom technique to enhance collaboration. As a methodology, we conducted a 2.5-hour activity where students applied the technique. Researchers assessed its impact using questionnaires. Our findings indicate that Lotus Blossom improved collaboration, helping students structure ideas, coordinate problem-solving, and strengthen teamwork. As a contribution, this study validates the Lotus Blossom technique as an effective method for fostering collaboration in software development education.",Colaboração,Lotus Blossom,Educação em desenvolvimento de software,,,,,,Inglês,enzo kleinpaul,IFFar
On the use of the Lotus Blossom Technique to Foster Collaboration among Students in Software Development,Anais,2025,"Collaboration is essential in software development but is often hindered by skill gaps and communication barriers. Techniques like Lotus Blossom provide a structured brainstorming approach to enhance teamwork and ideation. However, its role in fostering collaboration in product discovery remains underexplored. This study examines how undergraduate students applied the Lotus Blossom technique to enhance collaboration. As a methodology, we conducted a 2.5-hour activity where students applied the technique. Researchers assessed its impact using questionnaires. Our findings indicate that Lotus Blossom improved collaboration, helping students structure ideas, coordinate problem-solving, and strengthen teamwork. As a contribution, this study validates the Lotus Blossom technique as an effective method for fostering collaboration in software development education.",Colaboração,Lotus Blossom,Educação em desenvolvimento de software,,,,,,Inglês,alexandre pires,IFFar
On the use of the Lotus Blossom Technique to Foster Collaboration among Students in Software Development,Anais,2025,"Collaboration is essential in software development but is often hindered by skill gaps and communication barriers. Techniques like Lotus Blossom provide a structured brainstorming approach to enhance teamwork and ideation. However, its role in fostering collaboration in product discovery remains underexplored. This study examines how undergraduate students applied the Lotus Blossom technique to enhance collaboration. As a methodology, we conducted a 2.5-hour activity where students applied the technique. Researchers assessed its impact using questionnaires. Our findings indicate that Lotus Blossom improved collaboration, helping students structure ideas, coordinate problem-solving, and strengthen teamwork. As a contribution, this study validates the Lotus Blossom technique as an effective method for fostering collaboration in software development education.",Colaboração,Lotus Blossom,Educação em desenvolvimento de software,,,,,,Inglês,leticia machado,UFRGS
On the use of the Lotus Blossom Technique to Foster Collaboration among Students in Software Development,Anais,2025,"Collaboration is essential in software development but is often hindered by skill gaps and communication barriers. Techniques like Lotus Blossom provide a structured brainstorming approach to enhance teamwork and ideation. However, its role in fostering collaboration in product discovery remains underexplored. This study examines how undergraduate students applied the Lotus Blossom technique to enhance collaboration. As a methodology, we conducted a 2.5-hour activity where students applied the technique. Researchers assessed its impact using questionnaires. Our findings indicate that Lotus Blossom improved collaboration, helping students structure ideas, coordinate problem-solving, and strengthen teamwork. As a contribution, this study validates the Lotus Blossom technique as an effective method for fostering collaboration in software development education.",Colaboração,Lotus Blossom,Educação em desenvolvimento de software,,,,,,Inglês,rafael parizi,IFFar
Desvendando conhecimentos sociais em equipes de desenvolvimento de software a partir de logs de comunicação,Anais,2025,"Este estudo investiga os conhecimentos sociais presentes nos logs de comunicação de equipes de desenvolvimento de software. Com a crescente adoção de ferramentas de chats como meio de comunicação, os logs de comunicação de tais ferramentas contêm não apenas informações técnicas, mas também evidências da dinâmica social das equipes. Utilizando a Análise Temática, nesta pesquisa, foram identificados 10 tipos de conhecimentos sociais, destacando-se “Comunicação e Sinergia”, “Solicitação de Colaboração Técnica”, “Interações de Cortesia e Socialização” e “Feedback de Agradecimento”. Os achados oferecem evidências sobre o tipo e a frequência de aspectos sociais presentes nos registros de comunicação de equipes de desenvolvimento de software.",Conhecimento social,Logs de comunicação,Desenvolvimento de software,,,,,,Português,jose n. b. silva,UEA
Desvendando conhecimentos sociais em equipes de desenvolvimento de software a partir de logs de comunicação,Anais,2025,"Este estudo investiga os conhecimentos sociais presentes nos logs de comunicação de equipes de desenvolvimento de software. Com a crescente adoção de ferramentas de chats como meio de comunicação, os logs de comunicação de tais ferramentas contêm não apenas informações técnicas, mas também evidências da dinâmica social das equipes. Utilizando a Análise Temática, nesta pesquisa, foram identificados 10 tipos de conhecimentos sociais, destacando-se “Comunicação e Sinergia”, “Solicitação de Colaboração Técnica”, “Interações de Cortesia e Socialização” e “Feedback de Agradecimento”. Os achados oferecem evidências sobre o tipo e a frequência de aspectos sociais presentes nos registros de comunicação de equipes de desenvolvimento de software.",Conhecimento social,Logs de comunicação,Desenvolvimento de software,,,,,,Português,bruno gadelha,UFAM
